Level	Rule Name	Subject	Property	Value
WARN	equivalent_class_axiom_no_genus	obo:OLAS_0000010	obo:OLAS_0000013	DOID:399
WARN	equivalent_class_axiom_no_genus	obo:OLAS_0000012	obo:OLAS_0000013	DOID:11077
WARN	equivalent_class_axiom_no_genus	obo:OLAS_0000014	obo:OLAS_0000108	NCBITaxon:12721
WARN	missing_definition	obo:OLAS_0000015	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000016	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000017	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000018	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000019	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000020	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000023	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000024	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000025	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000026	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000027	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000028	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000029	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000030	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000031	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000032	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000033	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000034	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000035	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000036	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000037	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000038	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000039	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000042	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000044	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000049	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000050	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000051	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000052	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000054	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000055	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000056	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000057	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000059	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000060	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000062	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000063	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000064	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000065	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000066	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000067	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000068	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000069	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000070	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000071	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000072	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000073	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000074	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000075	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000076	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000077	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000078	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000079	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000080	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000081	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000084	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000087	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000089	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000091	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000092	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000093	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000094	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000095	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000096	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000097	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000098	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000099	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000100	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000101	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000102	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000104	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000105	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000106	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000107	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000108	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000109	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000110	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000432	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000433	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000434	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000435	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000436	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000437	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000438	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000439	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000440	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000441	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000442	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000443	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000444	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000445	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000446	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000447	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000448	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000449	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000450	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000451	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000452	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000453	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000454	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000502	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000504	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000505	IAO:0000115	
WARN	missing_definition	obo:OLAS_0000506	IAO:0000115	
